price,size,bedrooms,bathrooms,parking spaces,location,address,href
3195000,71,2,2,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108513487
3195000,93,2,1,,Sea Point,"Shaftesbury, 11 Tramway Road",https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108226843
3195000,72,2,2,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108099436
3195000,118,2,1.5,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107318305
3150000,76,2,1,1,Sea Point,4 Lilson Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108373236
3150000,49,1,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108606182
3150000,51,1,1,1,Green Point,4 Romney Street,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107045428
3150000,51,1,2,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108233639
3150000,49,1,1,,Sea Point,A4 Tenonq 10 Quendon Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107277198
3100000,,1,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108484252
3100000,98,2,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108545783
3100000,56,1,1,1,Green Point,3 Vesperdene Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108429837
3100000,,1,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108127965
3095000,86,2,1,,Sea Point,"Chartleigh House, 189 Beach Road",https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107914987
3095000,97,2,1.5,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108246001
3050000,88,2,2,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107005403
3000000,60,1,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108060768
3000000,62,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107539279
2999999,109,2,1.5,,Sea Point,20a St Johns Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108264925
2999000,60,1,1,1,Sea Point,287 Beach Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108203992
2999000,48,0.5,1,1,Sea Point,2 Clifford Rooad,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108207824
2999000,91,2,1,1,Sea Point,Albany Road Sea Point,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108222054
2999000,70,1,1,1,Sea Point,"One Albany, 1 Albany Road",https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107950654
2999000,69,1,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107096242
2995000,79,2,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108600304
2995000,72,2,1,1,Green Point,6 Kort Street,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108482507
2995000,71,2,2,2,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108477172
2995000,68,1,1,1,Sea Point,1a St Johns Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108267434
2995000,75,2,2,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108370509
2995000,81,2,2,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108381924
2995000,78,2,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108308594
2995000,81,2,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108261130
